"Name"
"Jazbar, Denis"
"Jazbec, Benjamin"
"Jazbec, Dino"
"Jazbec, Rok"
"Jelecevic, Bostjan"
"Jelenic, Enej"
"Jelenko, Jakob"
"Jelenko, Uros"
"Jerebic, Aleksander"
"Jerebic, Mario"
"Jerebic, Mihael"
"Jeric, Aljosa"
"Jerina, Matic"
"Jerkic, Klemen"
"Jerkovic, Timy Armando"
"Jermol, Nik"
"Jernejsek, Jan"
"Jesenek, Peter"
"Jesenicnik, Ales"
"Jevsenak, Franci"
"Jevsenak, Jakob"
"Jevsenak, Urban"
"Jevsnik, Crt"
"Jogan, Alen"
"Jogic, Ervin"
"Jokic, Bojan"
"Jovanovic, Rade"
"Jovic, Boban"
"Jovic, Matej"
"Jovic, Ziga"
"Jozic, Nemanja"
"Judez, Jakob"
"Jug, Azbe"
"Jug, Robert"
"Jug, Tadej"
"Jugovar, Domen"
"Jularic, Mario"
"Jurcevic, Mario"
"Jurcinec, Gregor"
"Jurecic, Ziga"
"Jurhar, Metod"
"Jurhar, Ziga"
"Jurisic, Danijel"
"Jurisic, Mario"
"Jursic, Erik"
"Jusufagic, Demirel"
"Kadric, Haris"
"Kadrija, Taulant"
"Kadrija, Valdrin"
"Kahteran, Alen"
"Kajtazi, Imran"
"Kajtazi, Naser"
"Kajtna, David"
"Kajzer, Rok"
"Kalabic, Djordje"
"Kalin, Peter"
"Kalin, Tim"
"Kalsek, Goran"
"Kambic, Luka"
"Kampl, Kevin"
"Kanalec, Aljaz"
"Kanduc, Primoz"
"Kapun, Enej"
"Kapun, Nik"
"Karamarkovic, Nebojsa"
"Karas, Mihael"
"Karic, Amir"
"Karic, Sven"
"Kariz, Klemen"
"Karnet, Marko"
"Karnicnik, Zan"
"Kasnik, David"
"Kastelic, David"
"Kastelic, Denis"
"Kastelic, Matjaz"
"Kastelic, Urban"
"Kastrevec, Ziga"
"Katanec, Matija"
"Kavas, Zan"
"Kavcic, Aljaz"
"Kavcic, Anej"
"Kavcic, Bine"
"Kavcic, Franc"
"Kavcic, Matija"
"Kavcic, Peter"
"Kavcic, Peter"
"Kavcic, Tine"
"Kelenc, Ales"
"Kene, Marcel"
"Kercmar, Iztok"
"Kerec, Aljon"
"Kerin, Luka"
"Kern, Tim"
"Kidric, Rok"
"Kidric, Tomaz"
"Kimovec, Jost"
"Kiric, Luka"
"Kirm, Andraz"
"Kiselak, David"
"Kisilak, Niko"
"Kisovec, Ozbej"
"Kitek, Cene"
"Kitek, Nace"
"Klancar, Peter"
"Klaric, Enej"
"Klasinc, Marko"
"Klebcar, Maximiliano"
"Klemen, Blaz"
"Klemencic, Damjan"
"Klemencic, Gregor"
"Klemencic, Jaka"
"Klemencic, Marko"
"Klemencic, Rok"
"Klemencic, Tilen"
"Klepac, Bostjan"
"Klevze, Matevz"
"Klinar, Denis"
"Kline, Miha"
"Kljajic, Almin"
"Kljajic, Erik"
"Kljun, Ziga"
"Klobasa, Kristjan"
"Klokocovnik, Simon"
"Klopcic, Uros"
"Klun, Simon"
"Kmetic, Rok"
"Knafeljc, Luka"
"Knez, Urban"
"Kobilsek, Andraz"
"Koblar, Luka"
"Kocar, Luco"
"Kocar, Omar"
"Kocet, Robert"
"Kocevar, Ziga"
"Kocic, Aleksandar"
"Kocic, Milan"
"Kocjan, Kristjan"
"Kocjancic, Luka"
"Kocuvan, Rok"
"Kocuvan, Zan"
"Kodelic, Anze"
"Koder, Tadej"
"Kodermac, Jakob"
"Kodermac, Leon"
"Kodermac, Ziga"
"Kogelnik, Peter"
"Kokalj, Samo"
"Kokolj, Domen"
"Kolar, Aljaz"
"Kolar, Andraz"
"Kolar, Andraz"
"Kolar, Anej"
"Kolar, Blaz"
"Kolar, Branko"
"Kolar, Jakob"
"Kolar, Marko"
"Kolar, Tim"
"Kolaric, Tadej"
"Kolenc, Jaka"
"Kolesa, Saso"
"Kolmanic, Zan"
"Kolobaric, Dario"
"Kolosa, Ales"
"Komat, Domen"
"Kompan, Izidor"
"Kompan, Tilen"
"Kompara, Matija"
"Koncar, Grega"
"Koncnik, David"
"Kondic, Igor"
"Kopac, Matic"
"Koprivec, Jan"
"Koprivnik, Nace"
"Korat, Dejan"
"Koren, Aleksander"
"Koren, Marcel"
"Koren, Robert"
"Koren, Robert"
"Koritnik, Gasper"
"Koron, Tine"
"Korosec, Alen"
"Korosec, Ales"
"Korosec, Andraz"
"Korosec, Jordan"
"Korosec, Jure"
"Korosec, Miha"
"Korpic, Misel"
"Korun, Simon"
"Korun, Uros"
"Kos, Gregor"
"Kos, Mark"
"Kos, Nik"
"Kosanec, Jan"
"Kosec, Thomas"
"Kosi, Benjamin"
"Kosir, Marjan"
"Kosir, Tomislav"
"Kosir, Urh"
"Kosmac, Nace"
"Kostanjevec, Alen"
"Kostanjsek, Miha"
"Kostic, Sasa"
"Kotnik, Andrej"
"Kotnik, Borut"
"Kotnik, Gregor"
"Kotnik, Jure"
"Kotnik, Matic"
"Kotnik, Rok"
"Kotnik, Tomo"
"Kotnik, Ziga"
"Kous, Ziga"
"Kouter, Nino"
"Kovac, Kan"
"Kovac, Milko"
"Kovac, Nejc"
"Kovac, Tomaz"
"Kovacevic, Aleksander"
"Kovacevic, Kristjan"
"Kovacevic, Mitja"
"Kovacevic, Nebojsa"
"Kovacic, David"
"Kovacic, Denis"
"Kovacic, Jure"
"Kovacic, Primoz"
"Kovacic, Zan"
"Kovjenic, Marko"
"Kozar, Alen"
"Kozar, Ales"
"Kozar, Gregor"
"Kozar, Jaka"
"Kozar, Samir"
"Kozar, Tomaz"
"Kozar, Zan"
"Kozel, Luka"
"Koznicov, David"
"Kracan, Rok"
"Kragelj, Anton"
"Krajc, Jaka"
"Krajcer, Marko"
"Krajnc, Alen"
"Krajnc, Dan"
"Krajnc, Danijel"
"Krajnc, David"
"Krajnc, Luka"
"Krajnc, Luka"
"Krajnc, Nejc"
"Krajnc, Sebastjan"
"Krajnc, Sergej"
"Krajnc, Tadej"
"Kralj, Jani"
"Kralj, Matija"
"Kraljevic, Jovisa"
"Kramar, Denis"
"Kramar, Urban"
"Kramaric, Martin"
"Kramberger, David"
"Kramer, Blaz"
"Kramljak, Mitja"
"Kraner, Rudolf Martin"
"Krasniqi, Qendrim"
"Krasovc, Denis"
"Kravanja, Tine"
"Krcic, Alen"
"Krefl, Aljaz"
"Kregar, Oliver"
"Krel, Ales"
"Kremenovic, Darko"
"Krhin, Rene"
"Kristl, Jan"
"Krivec, Jan"
"Krivec, Jure"
"Krivec, Uros"
"Krivicic, Marko"
"Krizaj, Jure"
"Krizaj, Nejc"
"Krizan, Mitja"
"Kronaveter, Rok"
"Krstov, Petar"
"Kruljac, Tim"
"Krusic, Uros"
"Kryeziu, Drilon"
"Kryeziu, Egzon"
"Kucalovic, Boban"
"Kuhar, Jaka"
"Kuhar, Ozbej"
"Kuipers, Stan"
"Kukovec, Jan"
"Kukovec, Matevz"
"Kukovec, Nino"
"Kulcar, Bojan"
"Kumer, Sabin"
"Kumer, Zan"
"Kunic, Domen"
"Kunstek, Saso"
"Kunstelj, Klemen"
"Kuraj, Anze"
"Kuraj, Jaka"
"Kurez, Anej"
"Kurez, Gasper"
"Kurtic, Jasmin"
"Kurtovic, Almin"
"Kuserbanj, Denis"
"Kusic, David"
"Kusnik, Miha"
"Kuzma, Ivo"
"Kuzma, Tin"
