"Name"
"Arnason, Hor?ur"
"Arnason, Ingolfur"
"Arnason, Ivar Orn"
"Arnason, Jakob Sn?r"
"Arnason, Kari"
"Arnason, Orri"
"Arnason, Petur Theodor"
"Arnason, Sigfus Kjalar"
"Arnason, Vigfus H.O."
"Arn?orsson, Asgeir Orn"
"Arn?orsson, Elvar Freyr"
"Arn?orsson, Ragnar"
"Arn?orsson, Steinar Adolf"
"Ars?lsson, Anton Freyr"
"Ars?lsson, Hrei?ar Ingi"
"Ars?lsson, Kari"
"Asbjarnarson, Arni"
"Asbjornsson, Davi? ?or"
"Asbjornsson, Ottar"
"Asgeirsson, Asgeir"
"Asgeirsson, Asgeir Borkur"
"Asgeirsson, Asgeir Frank"
"Asgeirsson, Daniel Agnar"
"Asgeirsson, Heimir ?or"
"Asgeirsson, Johann Karl"
"Asgeirsson, Marino Hilmar"
"Asgrimsson, Haraldur Einar"
"Asmundsson, Baldvin Freyr"
"Asmundsson, Emil"
"Asmundsson, Hor?ur Mani"
"As?orsson, Arnor Breki"
"Atlason, Arnar Skuli"
"Atlason, Arn?or Ari"
"Atlason, Davi? Orn"
"Atlason, Emil"
"Atlason, Numi Mar"
"Atlason, Patrik Sn?r"
"Au?unsson, Emil Andri"
"Au?unsson, Kristjan Einar"
"Au?unsson, Stein?or Mar"
"Austmann, Dagur"
"Austmann, Mani"
"Axelsson, A?algeir"
"Axelsson, Bjarki"
"Axelsson, Magnus Oliver"
"Bajic, Darko"
"Baldursson, Andri Fannar"
"Baldursson, Birgir Rafn"
"Baldursson, Bjarki"
"Baldursson, Daniel Andri"
"Baldursson, Gu?bergur"
"Baldursson, Gunnar Geir"
"Baldursson, Gunnlaugur Bjarnar"
"Baldursson, Halldor Kristjan"
"Baldursson, Kjartan D."
"Baldursson, Sigur?ur Orri"
"Baldvinsson, Baldvin Ingimar"
"Baldvinsson, Bjarki"
"Baldvinsson, Elvar"
"Baldvinsson, Gu?jon"
"Baldvinsson, Haukur"
"Baldvinsson, Johann Gunnar"
"Bar?dal, Jon Arnar"
"Barkarson, Atli"
"Barkarson, Bjartur Bjarmi"
"Barkarson, Breki"
"Bartolozzi, Sverrir"
"Benediktsson, Baldvin"
"Benediktsson, Bjarki Mar"
"Benediktsson, Brynjar"
"Benediktsson, Johann Ragnar"
