"Name"
"de Michelangeli, Lorenzo"
"De Mol, Nils"
"De Mol, Patrik"
"de Oliveira, Joni"
"De Oliveira, Raphael"
"De Pierro, Adriano"
"de Sousa, Miguel"
"de Vries, Francis"
"Deana, Steven"
"Debons, Mathieu"
"Decarli, Saulo"
"Defago, Samuel"
"Del Campo, Ruben"
"Delhaye, Anthony"
"Delley, Marco"
"Delli Carri, Samuel"
"Delprato, Marco"
"Demhasaj, Asllan"
"Demhasaj, Shkelqim"
"Demiri, Aziz"
"Demiri, Muhamed"
"Demolli, Gentian"
"Denis, Lilian"
"Deplazes, Rafael"
"Derdiyok, Eren"
"Derungs, Marcello"
"Dervenic, Christian"
"Dervenic, Sascha"
"Deschamps, Merry"
"Desole, Mattia"
"Desole, Noah"
"Dessarzin, Romain"
"di Giusto, Matteo"
"Di Gregorio, Leandro"
"Di Marco, Andrea"
"Di Nardo, Pietro"
"Di Nita, Luca"
"Di Zenzo, Emanuele"
"Diallo, Ibrahima"
"Dias, Marcio"
"Diaz, Lucas"
"Dickenmann, Marcin"
"Diener, Marco"
"Dieng, Seny"
"Diethelm, Michael"
"Dietiker, Nico"
"Dietrich, Tino"
"Digenti, Gregor"
"Dindamba, Elia"
"Dinkel, Marc"
"Dinkota, John"
"Dixon, Fabio"
"Dizdarevic, Nedzad"
"Djelassi, Emin"
"Djemaili, Ylli"
"Djimsiti, Berat"
"Djordjevic, Luka"
"Djourou, Johan"
"Djukic, Dragan"
"Djuric, Igor"
"Djuricin, Ivan"
"Doda, Vilson"
"Doldur, Siyar"
"Dolinar, Filip"
"Domecq, Sami"
"Domgjoni, Toni"
"Dominguez, Maxime"
"Dorig, Josef"
"Dottling, Mirco"
"Doudin, Charles-Andre"
"Doutaz, Hugo"
"Drakul, Marko"
"Drmic, Josip"
"Du Buisson, Marc"
"Duah, Kwadwo"
"Dubois, Eric"
"Dubuis, Leon"
"Dugourd, Dylan"
"Dumont, Cyril"
"Dunki, Simon"
"Duperret, Mikael"
"Durand, Faycal"
"Durrenmatt, Raoul"
"Durrer, Adrian"
"Durst, Lorenz"
"Dussin, Dario"
"Duttweiler, Beat"
"Duttweiler, Martin"
"Duvoisin, Alexandre"
"Duzmani, Emanuel"
"Dzeljadini, Elbasan"
"Dzemaili, Blerim"
"Dzombic, Semir"
"Dzonlagic, Omer"
"Eberhard, Mischa"
"Eberle, Fabian"
"Eberle, Nicolas"
