"Name"
"Cabral, Ruben"
"Cabral, Sandro"
"Cabral, Vitor"
"Cabreira"
"Cabreira, Marcelo"
"Cabrita, Joao"
"Cachapa, Bernardo"
"Cachapa, Diogo"
"Cachapa, Raphael"
"Cacheira, Luis"
"Cacheta, Ricardo"
"Cacheta, Ruben"
"Cachulo, Michael"
"Cadete, Diogo"
"Cadima, Pedro"
"Cadu"
"Caeiro, Joao"
"Caeiro, Pedro"
"Caeiro, Ricardo"
"Caeiro, Tiago"
"Caetano"
"Caetano, Afonso"
"Caetano, Andre Rafael"
"Caetano, Bruno"
"Caetano, Cristiano"
"Caetano, Dario"
"Caetano, Francisco"
"Caetano, Nelson"
"Caetano, Sandro"
"Cafu"
"Cafu"
"Caiado, David"
"Caiado, Joao"
"Cainte, Raimundo"
"Caio Guazzelli"
"Caio, Andre"
"Caipiro, Pedro"
"Caixinha, Jose"
"Cajo"
"Calado, Antonio"
"Calado, Carlos"
"Calado, Filipe"
"Calado, Pedro"
"Calcada, Rafael"
"Caleir, Vilson"
"Calhoca"
"Calico"
"Calila"
"Calisto"
"Calvinho, Afonso"
"Calvinho, Joao"
"Camacho, Joao"
"Camacho, Rafael"
"Camacho, Tiago"
"Camara, Abel"
"Camara, Anderson"
"Camara, Daniel"
"Camara, Ibraima"
"Camara, Igor"
"Camara, Joao"
"Camara, Lino"
"Camara, Lino"
"Camara, Malaine"
"Camara, Mamadu"
"Camara, Mamadu"
"Camara, Mussa"
"Camara, Panutche"
"Camara, Sekou"
"Camara, Siriki"
"Camara, Tito"
"Camarao, Andre"
"Camati, Arilson"
"Cambe, Manuel"
"Camelo, Diogo"
"Camelo, Rui"
"Cami"
"Caminata, Elio"
"Caminata, Joao"
"Caminho, Helder"
"Camoes, Ieltsin"
"Camora"
"Campos"
"Campos, Adelio"
"Campos, Alirio"
"Campos, Angelo"
"Campos, Candido"
"Campos, Fernando"
"Campos, Fortunato"
"Campos, Leandro"
"Campos, Luis"
"Campos, Manuel"
"Campos, Miguel"
"Campos, Nuno"
"Campos, Orlando"
"Campos, Pedro"
"Campos, Pedro"
"Campos, Ricardo"
"Campos, Ricardo"
"Campos, Sergio"
"Campota, Leonardo"
"Canadas, Filipe"
"Canadas, Joao"
"Canario, Ruben"
"Cancelo, Joao"
